date,open,high,low,close,volume
2019-08-14,128.1,129.6,123.43,124.75,4636514.0
2019-08-13,130.42,134.24,129.51,132.05,3716403.0
2019-08-12,132.48,133.5099,127.7,131.49,4485435.0
2019-08-09,130.44,134.97,129.6409,133.72,4149894.0
2019-08-08,125.71,131.68,125.14,131.68,4774221.0
2019-08-07,124.5,126.89,122.5175,123.9,3784533.0
2019-08-06,126.9,127.8658,123.67,125.57,5265292.0
2019-08-05,126.0,126.73,122.11,124.52,9018292.0
2019-08-02,136.42,136.72,132.16,133.7,5075841.0
2019-08-01,137.99,143.98,135.55,137.83,8147724.0
2019-07-31,141.05,142.9,136.11,139.11,6113093.0
2019-07-30,140.9,143.9,139.56,140.0,4478960.0
2019-07-29,150.0,150.3899,140.08,141.5,5350667.0
2019-07-26,148.15,150.37,148.0809,149.95,3136309.0
2019-07-25,147.61,149.5,146.2,147.76,2323852.0
2019-07-24,145.46,147.71,143.1732,147.61,2390850.0
